press_name,movie_id,press_rating
Franceinfo Culture,281709,4.0
L'Obs,281709,4.0
La Croix,281709,4.0
La Voix du Nord,281709,4.0
Le Dauphiné Libéré,281709,4.0
Le Journal du Dimanche,281709,4.0
Le Monde,281709,4.0
Le Parisien,281709,4.0
Les Echos,281709,4.0
Les Fiches du Cinéma,281709,4.0
Les Inrockuptibles,281709,4.0
Marie Claire,281709,4.0
Ouest France,281709,4.0
Positif,281709,4.0
Première,281709,4.0
Sud Ouest,281709,4.0
Transfuge,281709,4.0
Télé 7 Jours,281709,4.0
Télé Loisirs,281709,4.0
Télérama,281709,4.0
aVoir-aLire.com,281709,4.0
Le Figaro,281709,1.0
Elle,283708,5.0
Marie Claire,283708,5.0
Bande à part,283708,4.0
L'Humanité,283708,4.0
Le Journal du Dimanche,283708,4.0
Les Fiches du Cinéma,283708,4.0
Voici,283708,4.0
La Croix,283708,3.0
Les Inrockuptibles,283708,3.0
Paris Match,283708,3.0
Sud Ouest,283708,3.0
Télérama,283708,3.0
Cahiers du Cinéma,283708,2.0
L'Obs,283708,2.0
Le Monde,283708,2.0
Première,283708,2.0
Dernières Nouvelles d'Alsace,291677,4.0
Ecran Large,291677,4.0
Franceinfo Culture,291677,4.0
IGN France,291677,4.0
Le Dauphiné Libéré,291677,4.0
Le Journal du Geek,291677,4.0
Première,291677,3.0
Femme Actuelle,283755,4.0
Télé Loisirs,283755,4.0
L'Obs,283755,3.0
Le Figaro,283755,3.0
Les Fiches du Cinéma,283755,3.0
Première,283755,3.0
Rolling Stone,283755,3.0
La Voix du Nord,283755,2.0
Le Journal du Dimanche,283755,2.0
Le Monde,283755,2.0
Télérama,283755,2.0
Libération,283755,1.0
Femme Actuelle,277998,4.0
Le Parisien,277998,4.0
Les Fiches du Cinéma,277998,4.0
Positif,277998,4.0
Culturopoing.com,277998,3.0
L'Obs,277998,3.0
Le Journal du Dimanche,277998,3.0
Première,277998,2.0
Télérama,277998,2.0
Le Monde,277998,1.0
Dernières Nouvelles d'Alsace,186437,4.0
IGN France,186437,4.0
LCI,186437,4.0
Le Dauphiné Libéré,186437,4.0
Le Journal du Geek,186437,4.0
Le Parisien,186437,4.0
20 Minutes,186437,3.0
Ecran Large,186437,3.0
Franceinfo Culture,186437,3.0
L'Ecran Fantastique,186437,3.0
Télé Loisirs,186437,3.0
Télérama,186437,3.0
Critikat.com,186437,2.0
Filmsactu,186437,2.0
L'Obs,186437,2.0
Le Journal du Dimanche,186437,2.0
Libération,186437,2.0
Mad Movies,186437,2.0
Le Figaro,186437,1.0
Le Monde,186437,1.0
Les Echos,186437,1.0
Les Inrockuptibles,186437,1.0
Première,186437,1.0
Ecran Large,42303,2.0
Le Parisien,42303,2.0
Télé Loisirs,42303,2.0
Télérama,42303,1.0
Culturopoing.com,291311,5.0
Dernières Nouvelles d'Alsace,291311,5.0
L'Humanité,291311,5.0
Le Dauphiné Libéré,291311,5.0
Le Monde,291311,5.0
Le Parisien,291311,5.0
Ouest France,291311,5.0
20 Minutes,291311,4.0
Cahiers du Cinéma,291311,4.0
CinemaTeaser,291311,4.0
Ecran Large,291311,4.0
Femme Actuelle,291311,4.0
La Septième Obsession,291311,4.0
Le Journal du Dimanche,291311,4.0
Les Fiches du Cinéma,291311,4.0
Les Inrockuptibles,291311,4.0
Libération,291311,4.0
Positif,291311,4.0
Première,291311,4.0
Rolling Stone,291311,4.0
Télérama,291311,1.0
Critikat.com,291311,3.0
Les Echos,291311,3.0
Sud Ouest,291311,3.0
aVoir-aLire.com,291311,3.0
L'Obs,291311,2.0
La Croix,291311,2.0
20 Minutes,262394,4.0
Closer,262394,4.0
Femme Actuelle,262394,4.0
Le Figaro,262394,4.0
Le Parisien,262394,2.0
Le Point,262394,4.0
Public,262394,4.0
Dernières Nouvelles d'Alsace,262394,3.0
Le Dauphiné Libéré,262394,3.0
Le Monde,262394,3.0
aVoir-aLire.com,262394,3.0
La Voix du Nord,262394,2.0
Le Journal du Dimanche,262394,2.0
Première,262394,2.0
Télé 7 Jours,262394,2.0
Cahiers du Cinéma,262394,1.0
Ecran Large,262394,1.0
