user_id,user_name,series_id,user_rating,date
Z20220426200559176049425,Simon Prud'Homme,27798,4.5,2022-04-27
Z20160328135524190381773,DIEGO H,27798,0.5,2021-05-04
Z20191117150300292648146,Mathiassdu31,27798,1.5,2021-04-28
Z20080207133249277892466,benbasm,27798,0.5,2021-11-06
Z20180518212720230989678,Mikael F.,27798,0.5,2022-04-26
Z20110809233327667703899,Fee S,27798,5.0,2021-05-25
Z20210302114231104628866,John Bereti,27798,3.5,2022-05-11
Z20160415232555960586798,Mic G.,27798,0.5,2021-06-26
Z20210423235322442382995,Le Justicier d'allocine,27798,3.5,2022-01-24
Z20171228191913710374738,Christophe1007,27798,3.5,2021-04-27
Z20160318111730657152491,Benj F.,27798,1.0,2022-04-21
Z20190307011141918524715,pierre-antoine b,27798,5.0,2022-04-14
Z20200922173750133106843,Lilie ainama,27798,1.5,2021-04-29
Z20030510224939787458134,defleppard,19792,4.0,2021-03-15
Z20100311221040147622968,elriad,19792,5.0,2017-08-02
Z20060430164838640163367,Aulanius,19792,2.5,2020-04-28
Z20021217012646120641339,Henrico,19792,5.0,2020-04-08
Z20120619143324140523497,Pasthen,19792,3.0,2021-01-04
Z20140911140446860358731,L'Info Tout Court,19792,3.5,2020-04-11
Z20140106184842703619977,antony Z.,19792,3.5,2020-11-17
Z20130102000319520925741,kal-el 02,19792,4.5,2020-04-13
Z20190923053624464795792,Spider cineman,19792,4.0,2022-01-24
Z20120509144229610539964,Michael R,19792,4.0,2019-02-14
Z20130506121832697984727,Agnes L.,19792,5.0,2022-01-29
Z20111025034545657435144,gregbutton,19792,4.0,2021-07-24
Z20140505093817713797659,Bulles de Culture,19792,3.0,2017-07-22
Z20170729164821933348443,Ragnar38,19792,5.0,2020-07-04
Z20130107010257313985449,MC feely,19792,4.5,2017-08-27
Z20091201104314913744371,Stéphane R,19792,4.0,2020-04-27
Z20100928151919737223269,nokidoki,19792,4.0,2017-07-25
Z20120818153732320983234,Marlon M.,19792,4.0,2022-03-19
Z20160409142210377435924,Marjolaine A.,19792,5.0,2017-11-21
Z20210228203841764950360,Le Video Club De Sabrina,19792,4.5,2021-03-03
Z20080526184903820576881,jamesgray33,19792,5.0,2020-03-30
Z20080330140216490185765,Benjamin L,19792,4.5,2020-04-07
Z20110722102621460502768,Adrien,19792,5.0,2017-08-04
Z20080801181301267464332,Underslide42,19792,5.0,2020-04-24
Z20070220174543090542931,Ja Z,19792,4.0,2020-11-04
Z20161117212759953301234,Choupi C.,19792,4.0,2021-07-24
Z20170720091918593177856,pat T.,19792,4.5,2018-10-18
Z20151025145125147467978,Hypertension,19792,4.0,2018-10-10
Z20200111151053519702041,Zarkalexia,19792,3.5,2020-05-10
Z20130707125235897985277,Louis C,19792,4.5,2021-03-28
Z20110123125025983489347,washere,19792,2.5,2020-11-25
Z20120529191609503171273,Scarlet Carson,19792,3.5,2019-01-12
Z20050628172931840469723,Hypaepa,19792,2.0,2018-04-15
Z20110326192413260547941,estebois,19792,2.0,2020-05-15
Z20191013143158822568159,Yann I,19792,4.5,2020-06-16
Z20091226090022140155599,Byrlthek,19792,3.5,2019-03-19
Z20120520195605730755525,Fred Monneron,19792,5.0,2020-04-02
Z20101015231356093802832,RRossi,19792,4.0,2022-01-30
Z20180101180100547986166,Saladin Y.,19792,2.5,2018-02-09
Z20080113112320190174261,JUJU 2theCinema,19792,4.5,2020-07-31
Z20110709154323667148938,cosette2010,19792,4.0,2020-07-20
Z20140828021705407247461,Théo B,19792,2.0,2022-02-03
Z20140213185804943134545,Clint B,19792,4.5,2021-07-14
Z20100403003744110358237,jeffandco,19792,5.0,2018-10-31
Z20070311180855223242674,Patrick Torres,19792,4.0,2022-03-06
Z20120918081200463307537,rerererere,19792,5.0,2017-08-13
Z20101220114443430507792,dumaycedric,19792,2.0,2017-08-08
Z20131208084744170592567,Damien H,19792,4.0,2018-09-18
Z20160918201416547332559,Patrick,19792,4.0,2017-08-04
Z20190316213926155241789,Dache,19792,4.0,2019-04-09
Z20150611102648140178198,Fabien S.,22373,4.0,2019-02-19
Z20020201155528393476112,bsalvert,22373,3.0,2021-08-12
Z20060306120707657834768,Benito G,22373,4.0,2018-10-24
Z20051130155621770461137,Gentilbordelais,22373,1.5,2020-01-06
Z20110127062739973149758,Stéphane D,22373,3.5,2021-03-11
Z20100311221040147622968,elriad,22373,2.0,2018-10-10
Z20120516090532753205331,tisma,22373,4.0,2018-10-12
Z20061028091922393442315,cineccita,22373,4.0,2018-11-28
Z20100524164450633857355,Cinememories,22373,2.5,2018-11-01
Z20161222045629570932478,Ghighi19,22373,2.5,2021-03-23
Z20130531012200283468878,Ufuk K,22373,4.0,2020-04-09
Z20180716141607715234531,ɱ ʌ T ɦ ɪ ƨ,22373,4.5,2021-08-31
Z20050501203212980538555,Vanessa L,22373,3.5,2019-10-14
Z20090216130001493566284,nico550m,22373,4.0,2018-10-09
Z20170119165346507711342,Adelme d'Otrante,22373,3.0,2021-07-09
Z20191227171356486705092,TUTUR29,22373,2.0,2020-03-14
Z20040830091116000901574,Gwen R,22373,4.5,2021-07-31
Z20100329181350593234485,Sébastien D,22373,4.5,2018-11-14
Z20190317133551074752593,GIJoe,22373,0.5,2019-08-12
Z20190626231435328474731,war m,22373,4.0,2019-07-05
Z20080609225702967993574,JustinSvn,22373,3.5,2022-05-04
Z20210228203841764950360,Le Video Club De Sabrina,22373,3.5,2021-03-03
Z20060623014306840262186,Math719,22373,3.5,2021-06-30
Z20161127203550770316524,Victor A.,22373,3.5,2018-10-18
Z20200220163243214016424,Xavière ,22373,5.0,2020-03-21
Z20100929230606530874923,corsicanna,22373,3.5,2018-10-21
Z20121208183530370577246,Cédri T,22373,5.0,2020-05-16
Z20200111151053519702041,Zarkalexia,22373,1.5,2022-04-27
Z20130707125235897985277,Louis C,22373,4.0,2021-08-31
Z20130308223120360168474,gossipeuse33,22373,4.0,2019-04-23
Z20190218105658307576571,JoKeR_9514,22373,5.0,2019-09-28
Z20210803152332513394798,Christobalx,22373,4.0,2022-04-07
Z20140203213322983494994,Albert D.,22373,3.5,2022-04-12
Z20200221164153471566526,Cassie,22373,4.0,2020-03-17
Z20140828021705407247461,Théo B,22373,5.0,2020-02-04
Z20181221044924357016018,Salim S,22373,4.5,2019-06-19
Z20170721123315130525276,CLAIRE M.,22373,4.0,2020-03-23
Z20181222125427052853521,Matthieu Chaperon,22373,4.5,2020-05-18
Z20180821091154267283663,BissoNaBisso,22373,4.0,2020-03-22
Z20170604004107243135824,Lauriane,22373,2.0,2018-12-05
Z20110827142950910726853,kluane,22373,1.5,2018-11-03
Z20121026180541567257188,ITIAH,22373,3.0,2020-03-23
Z20130902223143370624655,Matteo R.,22373,4.5,2019-09-13
Z20200622140118549448669,EgoWernox,22373,4.5,2020-07-12
Z20190712002032142602771,Audreyhik28,22373,4.5,2019-09-17
Z20181012152058328974314,Nour B,22373,5.0,2020-05-02
Z20180819192626553885722,Kylian 440,22373,4.5,2018-10-20
Z20201114233707303103453,Claudiaafo,22373,3.0,2020-11-15
Z20190217134628766246346,Céline D,22373,5.0,2020-05-22
Z20190528001828385462208,Andrea S,22373,4.0,2019-07-20
Z20020201155528393476112,bsalvert,25616,3.0,2022-05-04
Z20171227202728840555521,Chaîne 42,25616,3.0,2021-05-25
Z20070814215940203765217,tixou0,25616,1.0,2021-04-17
Z20081009225920613627173,Renaud  de Montbas,25616,4.0,2021-09-09
Z20111217205006870663453,Arlette et les mécanos,25616,4.0,2021-04-18
Z20100810095334443153557,kingbee49,25616,2.0,2022-05-11
Z20160409142210377435924,Marjolaine A.,25616,1.0,2021-05-03
Z20051107154707640328189,Maryane75,25616,0.5,2021-05-08
Z20180405075253113886498,Jean N.,25616,0.5,2021-05-15
Z20180104210750397354337,Daeriss W.,25616,3.5,2021-04-24
Z20170723101842110282198,Jean Louis L.,25616,3.0,2021-05-22
Z20210727194759629185370,Benjamin Martinez,25616,5.0,2021-07-30
Z20210818182356768177422,Bastien Quéreillahc,25616,3.5,2022-01-03
Z20050518220443227336475,Harma,25616,4.0,2021-05-13
Z20140107133909970559584,YaPasPhoto,25616,3.5,2022-02-17
Z20121019130515660226598,Ted17eme,25616,4.0,2021-05-17
Z20191128194441278453928,Wasapat,25616,3.5,2021-05-01
Z20200612105734686260435,Bon Samuel,25616,3.0,2021-05-25
Z20201208170128158499571,Yann,25616,1.0,2021-08-02
Z20080630155138387201375,Stefan R,25616,3.0,2021-04-21
Z20110611192132227834242,dhl,25616,0.5,2021-05-14
Z20121010102423330402835,christian B.,25616,1.0,2021-05-15
Z20210206184251146981826,Kannibal-rabbit,25616,3.5,2021-05-01
Z20150325194148213666053,Laurent B.,25616,4.0,2021-11-18
Z20210110041421683922435,Mehdi Mitchell,25616,0.5,2021-05-08
Z20220102171529852963895,Scofield,25616,5.0,2022-01-08
Z20120726221025587821418,Boildieux,25616,3.0,2021-05-01
Z20200804141737570133387,Moi C Moi,25616,1.5,2021-05-13
Z20200414182313129542596,Pierre,25616,4.0,2021-04-24
Z20190814221911997354840,Arnaud,25616,4.0,2021-05-01
Z20120309091205303845229,Daugnac,25616,4.0,2021-05-05
