press_name,movie_id,press_rating
Dernières Nouvelles d'Alsace,284864,5.0
Elle,284864,5.0
Franceinfo Culture,284864,5.0
Le Dauphiné Libéré,284864,5.0
Le Journal du Dimanche,284864,5.0
Ouest France,284864,5.0
Positif,284864,5.0
Télé Loisirs,284864,5.0
Voici,284864,5.0
BIBA,284864,4.0
CNews,284864,4.0
Femme Actuelle,284864,4.0
LCI,284864,4.0
La Voix du Nord,284864,4.0
Le Parisien,284864,4.0
Le Point,284864,4.0
aVoir-aLire.com,284864,4.0
Ecran Large,284864,3.0
La Croix,284864,3.0
Le Figaro,284864,3.0
Les Echos,284864,3.0
Paris Match,284864,3.0
Télé 7 Jours,284864,3.0
Télérama,284864,3.0
Le Monde,284864,2.0
Marianne,284864,2.0
Cahiers du Cinéma,284864,1.0
GQ,284864,1.0
L'Obs,284864,1.0
Les Inrockuptibles,284864,1.0
Première,284864,1.0
Ouest France,287057,5.0
20 Minutes,287057,4.0
Dernières Nouvelles d'Alsace,287057,4.0
Le Dauphiné Libéré,287057,4.0
Le Parisien,287057,4.0
Voici,287057,4.0
La Croix,287057,3.0
La Voix du Nord,287057,3.0
Le Journal du Dimanche,287057,3.0
Les Echos,287057,3.0
Paris Match,287057,3.0
Positif,287057,3.0
Première,287057,3.0
L'Obs,287057,2.0
Le Monde,287057,2.0
Sud Ouest,287057,2.0
Télé 7 Jours,287057,2.0
Télé Loisirs,287057,2.0
Les Inrockuptibles,287057,1.0
20 Minutes,281401,4.0
Dernières Nouvelles d'Alsace,281401,4.0
Le Dauphiné Libéré,281401,4.0
Le Figaro,281401,4.0
Le Parisien,281401,4.0
Culturopoing.com,281401,3.0
La Voix du Nord,281401,3.0
Le Journal du Dimanche,281401,3.0
Paris Match,281401,3.0
Positif,281401,3.0
Télé 7 Jours,281401,3.0
Télé Loisirs,281401,3.0
Voici,281401,3.0
Les Echos,281401,2.0
Les Fiches du Cinéma,281401,2.0
Les Inrockuptibles,281401,2.0
Le Monde,281401,1.0
Ouest France,281401,1.0
Première,281401,1.0
Sud Ouest,281401,1.0
Télérama,281401,1.0
Ouest France,279838,5.0
Voici,279838,5.0
20 Minutes,279838,4.0
CinemaTeaser,279838,4.0
Ecran Large,279838,4.0
L'Humanité,279838,4.0
L'Obs,279838,4.0
Le Journal du Dimanche,279838,4.0
Le Parisien,279838,4.0
Paris Match,279838,4.0
Première,279838,4.0
Télérama,279838,4.0
Cahiers du Cinéma,279838,3.0
Le Monde,279838,3.0
Les Fiches du Cinéma,279838,3.0
Le Figaro,279838,1.0
Libération,279838,1.0
L'Humanité,284676,5.0
Les Echos,284676,5.0
Les Inrockuptibles,284676,5.0
Ouest France,284676,5.0
Transfuge,284676,5.0
Télé 7 Jours,284676,5.0
Télérama,284676,5.0
Voici,284676,5.0
aVoir-aLire.com,284676,5.0
Bande à part,284676,4.0
Dernières Nouvelles d'Alsace,284676,4.0
Elle,284676,4.0
Femme Actuelle,284676,4.0
L'Obs,284676,4.0
La Croix,284676,4.0
Le Dauphiné Libéré,284676,4.0
Le Figaro,284676,4.0
Le Journal du Dimanche,284676,4.0
Le Monde,284676,4.0
Le Parisien,284676,4.0
Libération,284676,4.0
Paris Match,284676,4.0
Positif,284676,4.0
Première,284676,4.0
Sud Ouest,284676,4.0
Télé 2 semaines,284676,4.0
Télé Loisirs,284676,4.0
Les Fiches du Cinéma,284676,3.0
Cahiers du Cinéma,284676,2.0
Critikat.com,284676,2.0
Ecran Large,284676,2.0
Les Fiches du Cinéma,266027,4.0
La Voix du Nord,266027,3.0
Télé Loisirs,266027,3.0
Télérama,266027,3.0
Première,266027,2.0
Dernières Nouvelles d'Alsace,186437,4.0
IGN France,186437,4.0
LCI,186437,4.0
Le Dauphiné Libéré,186437,4.0
Le Journal du Geek,186437,4.0
Le Parisien,186437,4.0
20 Minutes,186437,3.0
Ecran Large,186437,3.0
Franceinfo Culture,186437,3.0
L'Ecran Fantastique,186437,3.0
Télé Loisirs,186437,3.0
Télérama,186437,3.0
Critikat.com,186437,2.0
Filmsactu,186437,2.0
L'Obs,186437,2.0
Le Journal du Dimanche,186437,2.0
Libération,186437,2.0
Mad Movies,186437,2.0
Le Figaro,186437,1.0
Le Monde,186437,1.0
Les Echos,186437,1.0
Les Inrockuptibles,186437,1.0
